Experiment,Citation,Depth (cm),Sample date,Time (years),ambient CO2,increased CO2,ambient CO2.1,increased CO2.1,Description of data source,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArizonaFACE - wheat - high N,Leavitt et al. 2001,0-15 ,nov. 1995,0.0,1343.84,1228.4,4.0,4.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leavitt et al. 2001,0-15 ,may 1996,0.5,1363.08,1305.36,4.0,4.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leavitt et al. 2001,0-15 ,dec. 1996,1.0,1253.56,1263.92,4.0,4.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leavitt et al. 2001,0-15 ,may 1997,1.5,1258.0,1400.08,4.0,4.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 ,average 1999,0.0,5950.0,6362.43,1.0,1.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trueman and  Gonzalez-Meler 2005,0-25 ,average 2000,1.0,5253.57,4735.13,1.0,1.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trueman and  Gonzalez-Meler 2005,0-25 ,average 2001,2.0,6084.09,4784.77,1.0,1.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trueman and  Gonzalez-Meler 2005,0-25 ,average 2002,3.0,5470.0,4063.79,1.0,1.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trueman and  Gonzalez-Meler 2005,0-25 ,average 2003,4.0,5335.0,4220.35,1.0,1.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China FACE - low N,Zhong et al. 2009,0-15 ,mar. 2008,3.66,1936.62,2192.4,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zhong et al. 2009,0-15 ,jun. 2008,4.0,1936.62,2122.8,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China FACE - high N,Zhong et al. 2009,0-15 ,mar. 2008,3.66,1926.18,2134.98,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zhong et al. 2009,0-15 ,jun. 2008,4.0,1936.62,2105.4,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China OTC - low N,Liu et al. 2010,0-20 ,jul. 2005,0.33,1103.17,1168.46,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2005,0.67,1035.63,1096.92,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2006,1.0,1936.18,2384.62,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,aug. 2006,1.33,2318.91,2217.69,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,nov. 2006,1.66,2060.0,2050.77,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liu et al. 2010,0-20 ,apr. 2007,2.0,2431.48,2301.15,2.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
